Player Combo,isTwoPlayer,Minutes,Off Min,Def Min,Off Poss,Def Poss,Total Possessions,rel_PM_p40,On-Off_PMp40,ORTG,DRTG,Net_RTG,On-Off,PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,Plus_Minus,Off-Court PM_p40,Off-Court ORTG,Off-Court DRTG,Off-Court Net_RTG,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
MS-SN-DP-AM7,False,1.172,0.722,0.45,2,2,4,39.947,30.638,100.0,100.0,0.0,77.083,0.0,20.635,-10.39,31.025,0,-30.638,81.25,158.333,-77.083,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SN-DP-KJ,False,1.172,0.722,0.45,2,2,4,39.947,10.767,100.0,100.0,0.0,1.786,0.0,20.635,-10.39,31.025,0,-10.767,85.714,87.5,-1.786,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-DP-AM7-KJ,False,1.172,0.722,0.45,2,2,4,39.947,0.0,100.0,100.0,0.0,-18.462,0.0,20.635,-10.39,31.025,0,0.0,138.462,120.0,18.462,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-DP-AM7-KJ,False,1.172,0.722,0.45,2,2,4,39.947,-17.241,100.0,100.0,0.0,-25.0,0.0,20.635,-10.39,31.025,0,17.241,150.0,125.0,25.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
AC-EF-AM7-MH,False,1.113,0.677,0.437,3,3,6,-31.91,14.865,0.0,66.667,-66.667,-91.667,-71.856,-79.365,-43.723,-35.642,-2,-86.721,175.0,150.0,25.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-AC-IK,False,1.072,0.687,0.385,2,2,4,151.922,403.02,250.0,100.0,150.0,312.5,111.975,170.635,-10.39,181.025,3,-291.045,0.0,162.5,-162.5,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-AC-IK-MH,False,1.072,0.687,0.385,2,2,4,151.922,313.656,250.0,100.0,150.0,300.0,111.975,170.635,-10.39,181.025,3,-201.681,0.0,150.0,-150.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-AC-IK-KJ,False,1.072,0.74,0.332,2,1,3,-34.703,154.545,0.0,200.0,-200.0,-25.0,-74.65,-79.365,89.61,-168.975,-2,-229.195,0.0,175.0,-175.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-AC-IK-AM7,False,1.038,0.0,1.038,0,4,4,-75.623,43.546,0.0,75.0,-75.0,58.333,-115.57,-79.365,-35.39,-43.975,-3,-159.116,0.0,133.333,-133.333,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SN-IK-AM7,False,1.023,0.518,0.505,2,3,5,196.299,281.648,300.0,66.667,233.333,340.833,156.352,220.635,-43.723,264.358,4,-125.297,80.0,187.5,-107.5,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
