#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
100,,P4,,"Defense, Unsuccessful, Allow Paint Touch",,,0:14.9,,,0:38.82,0:53.70,Live,,,,,"#06 Shawnee Nordstrom, #30 Janay Brantley, #22 Ali'a Matavao, #08 Shanayka Ismar, #0 Sarah Deng",,,
101,2,P4,,"Defense, Unsuccessful, Allow Paint Touch",,,0:11.5,,,1:11.03,1:22.53,Live,,,,,"#03 Danae Powell, #02 Mari Somvichian, #07 Ana Milanovic, #04 Allison Clarke, #11 Erica Finney",,,
102,2,P4,,"Defense, Unsuccessful",,,0:12.6,,,0:29.40,0:42.00,Live,,,,,"#11 Erica Finney, #04 Allison Clarke, #02 Mari Somvichian, #07 Ana Milanovic, #03 Danae Powell",,,
103,),P4,,"Defense, Whistle",,,0:07.1,,,0:57.03,1:04.13,Live,,,,,"#0 Sarah Deng, #13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez, #06 Shawnee Nordstrom",,,
104,9,P4,,"Defense, Successful",,,0:09.1,,,1:09.80,1:18.89,Live,,,,,"#0 Sarah Deng, #55 Maya Hernandez, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones",,,
105,@-8,P4,,"Offense, Unsuccessful",,,0:07.4,,,1:19.05,1:26.49,Live,,,,,"#13 Ivana Krajina, #55 Maya Hernandez, #06 Shawnee Nordstrom, #24 Kayla Jones, #0 Sarah Deng",,,
106,2,P4,,"Offense, Successful",,,0:12.9,,,0:26.97,0:39.90,Live,,,,,"#24 Kayla Jones, #13 Ivana Krajina, #06 Shawnee Nordstrom, #55 Maya Hernandez, #0 Sarah Deng",,,
107,#,P4,,"Defense, Successful",,,0:19.1,,,0:39.90,0:58.95,Live,,,,,"#24 Kayla Jones, #06 Shawnee Nordstrom, #0 Sarah Deng, #13 Ivana Krajina, #55 Maya Hernandez",,,
108,#,P4,,"Offense, Unsuccessful",,,0:18.7,,,1:00.05,1:18.76,Live,,,,,"#55 Maya Hernandez, #06 Shawnee Nordstrom, #24 Kayla Jones, #0 Sarah Deng, #13 Ivana Krajina",,,
109,),P4,,"Defense, Whistle",,,0:07.3,,,1:18.76,1:26.10,Live,,,,,"#24 Kayla Jones, #0 Sarah Deng, #55 Maya Hernandez, #06 Shawnee Nordstrom, #13 Ivana Krajina",,,
110,9,P4,,"Defense, Successful, Deflection",,,0:12.6,,,1:56.05,2:08.67,Live,,,,,"#06 Shawnee Nordstrom, #55 Maya Hernandez, #13 Ivana Krajina, #0 Sarah Deng, #24 Kayla Jones",,,
111,0,P4,,"Offense, Successful",,,0:15.9,,,2:30.63,2:46.53,Live,,,,,"#07 Ana Milanovic, #11 Erica Finney, #02 Mari Somvichian, #03 Danae Powell, #04 Allison Clarke",,,
112,!-1,P4,,Offense,,,0:24.4,,,3:03.23,3:27.62,Live,,,,,"#04 Allison Clarke, #11 Erica Finney, #02 Mari Somvichian, #03 Danae Powell, #07 Ana Milanovic",,,
113,),P4,,,,,0:04.1,,,3:27.62,3:31.73,Live,,,,,"#02 Mari Somvichian, #11 Erica Finney, #03 Danae Powell, #07 Ana Milanovic, #04 Allison Clarke",,,
114,#-8-@,P4,,"Offense, Unsuccessful",,,0:32.3,,,3:44.46,4:16.73,Live,,,,,"#24 Kayla Jones, #13 Ivana Krajina, #0 Sarah Deng, #06 Shawnee Nordstrom, #55 Maya Hernandez, Half-court",,,
115,2,P4,,"Defense, Unsuccessful",,,0:06.8,,,4:16.73,4:23.56,Live,,,,,"#55 Maya Hernandez, #0 Sarah Deng, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones",,,
116,2,P4,,"Offense, Successful",,,0:14.4,,,4:23.56,4:37.98,Live,,,,,"#0 Sarah Deng, #24 Kayla Jones, #06 Shawnee Nordstrom, #55 Maya Hernandez, #13 Ivana Krajina",,,
